Date,Open,High,Low,Close,Adj Close,Volume
2023-08-02,2509.199951,2512.000000,2463.600098,2486.350098,2477.598145,6374107
2023-08-03,2475.300049,2500.899902,2458.050049,2475.899902,2467.184814,5084175
2023-08-04,2498.800049,2516.000000,2471.600098,2509.550049,2500.716309,11442805
2023-08-07,2521.000000,2528.399902,2505.000000,2523.850098,2514.966064,2991435
2023-08-08,2528.000000,2534.449951,2499.550049,2508.649902,2499.819336,4922036
2023-08-09,2504.850098,2529.000000,2481.100098,2525.199951,2516.311279,5743293
2023-08-10,2524.949951,2550.000000,2508.449951,2536.449951,2527.521729,7735299
2023-08-11,2532.449951,2558.850098,2512.350098,2547.149902,2538.183838,11089665
2023-08-14,2539.000000,2582.300049,2525.000000,2577.250000,2568.177979,4787906
2023-08-16,2551.000000,2582.800049,2551.000000,2575.149902,2566.085449,5101556
2023-08-17,2567.100098,2578.100098,2532.850098,2538.000000,2529.066162,6836872
2023-08-18,2531.250000,2577.600098,2508.550049,2556.800049,2547.800049,9319989
2023-08-21,2539.949951,2555.449951,2515.649902,2520.000000,2520.000000,4610873
2023-08-22,2516.899902,2537.949951,2499.000000,2519.399902,2519.399902,3856522
2023-08-23,2524.199951,2542.850098,2516.949951,2522.199951,2522.199951,4758976
2023-08-24,2539.899902,2539.899902,2471.000000,2479.800049,2479.800049,7070010
2023-08-25,2456.000000,2505.000000,2442.600098,2468.350098,2468.350098,11111200
2023-08-28,2472.000000,2484.000000,2431.100098,2443.750000,2443.750000,6290413
2023-08-29,2452.050049,2453.449951,2408.149902,2420.350098,2420.350098,8438322
2023-08-30,2432.000000,2443.000000,2415.000000,2418.050049,2418.050049,6084473
2023-08-31,2423.000000,2425.000000,2399.899902,2407.000000,2407.000000,10819300
2023-09-01,2406.550049,2425.649902,2401.649902,2412.649902,2412.649902,9056421
2023-09-04,2412.649902,2423.649902,2405.300049,2410.699951,2410.699951,4673813
2023-09-05,2420.000000,2433.949951,2412.449951,2423.600098,2423.600098,4337938
2023-09-06,2421.100098,2436.149902,2417.250000,2428.699951,2428.699951,4100185
2023-09-07,2421.699951,2438.250000,2411.000000,2432.000000,2432.000000,6826286
2023-09-08,2440.000000,2456.000000,2422.949951,2448.199951,2448.199951,11554644
2023-09-11,2452.000000,2476.850098,2452.000000,2474.600098,2474.600098,6635537
2023-09-12,2483.000000,2483.000000,2435.949951,2438.850098,2438.850098,8127833
2023-09-13,2440.000000,2462.649902,2426.250000,2451.050049,2451.050049,6401669
2023-09-14,2460.000000,2465.800049,2445.000000,2453.300049,2453.300049,4604818
2023-09-15,2468.000000,2468.000000,2449.500000,2457.850098,2457.850098,12734296
2023-09-18,2440.050049,2451.000000,2432.050049,2436.449951,2436.449951,3758150
2023-09-20,2423.050049,2427.600098,2355.000000,2382.149902,2382.149902,28540942
2023-09-21,2374.949951,2390.100098,2360.000000,2364.800049,2364.800049,6113091
2023-09-22,2376.000000,2382.449951,2350.000000,2354.949951,2354.949951,9588393
2023-09-25,2350.399902,2360.699951,2335.100098,2340.449951,2340.449951,7127442
2023-09-26,2338.550049,2350.199951,2335.600098,2342.500000,2342.500000,5043891
2023-09-27,2343.500000,2371.800049,2338.500000,2368.899902,2368.899902,5861389
2023-09-28,2383.000000,2383.000000,2325.000000,2334.100098,2334.100098,7259173
2023-09-29,2341.800049,2369.100098,2334.100098,2345.000000,2345.000000,6171007
2023-10-03,2329.949951,2335.600098,2316.000000,2318.149902,2318.149902,4429528
2023-10-04,2309.000000,2319.000000,2295.100098,2314.149902,2314.149902,5143193
2023-10-05,2319.250000,2329.399902,2309.000000,2314.100098,2314.100098,5476841
2023-10-06,2317.050049,2324.800049,2312.050049,2318.000000,2318.000000,2715513
2023-10-09,2308.100098,2311.949951,2295.000000,2298.250000,2298.250000,3788439
2023-10-10,2306.550049,2317.899902,2303.750000,2308.399902,2308.399902,5118016
2023-10-11,2314.449951,2349.699951,2313.000000,2345.050049,2345.050049,4907059
2023-10-12,2343.850098,2359.350098,2338.149902,2349.399902,2349.399902,6277225
2023-10-13,2340.000000,2357.500000,2329.149902,2349.300049,2349.300049,5075158
2023-10-16,2345.000000,2354.550049,2336.000000,2344.050049,2344.050049,2964518
2023-10-17,2356.000000,2359.699951,2341.300049,2355.250000,2355.250000,3964090
2023-10-18,2355.250000,2367.000000,2321.000000,2324.000000,2324.000000,4459160
2023-10-19,2312.000000,2321.800049,2301.000000,2306.149902,2306.149902,6016278
2023-10-20,2300.000000,2314.699951,2296.300049,2299.100098,2299.100098,4456656
2023-10-23,2290.000000,2306.250000,2255.250000,2263.199951,2263.199951,3926981
2023-10-25,2250.050049,2281.199951,2243.000000,2257.949951,2257.949951,5810344
2023-10-26,2251.000000,2258.000000,2220.300049,2226.500000,2226.500000,7611267
2023-10-27,2240.000000,2273.500000,2235.949951,2265.800049,2265.800049,5885542
2023-10-30,2274.000000,2325.000000,2269.949951,2312.500000,2312.500000,8406652
2023-10-31,2328.000000,2328.000000,2282.899902,2287.899902,2287.899902,6404219
2023-11-01,2289.149902,2317.500000,2275.199951,2297.399902,2297.399902,5154595
2023-11-02,2313.949951,2324.300049,2307.949951,2320.199951,2320.199951,5281052
2023-11-03,2327.199951,2334.949951,2315.750000,2319.699951,2319.699951,4425078
2023-11-06,2332.300049,2340.000000,2325.600098,2339.000000,2339.000000,5323652
2023-11-07,2334.050049,2339.100098,2319.550049,2323.800049,2323.800049,3480102
2023-11-08,2332.000000,2341.000000,2321.750000,2335.899902,2335.899902,3942247
2023-11-09,2335.850098,2335.899902,2304.199951,2310.550049,2310.550049,7256805
2023-11-10,2305.550049,2316.350098,2298.050049,2314.899902,2314.899902,3867477
2023-11-13,2322.899902,2324.600098,2311.699951,2314.600098,2314.600098,1927405
2023-11-15,2340.000000,2361.949951,2327.000000,2356.449951,2356.449951,6110324
2023-11-16,2351.100098,2374.149902,2346.949951,2360.699951,2360.699951,6567455
2023-11-17,2352.899902,2373.250000,2352.050049,2355.550049,2355.550049,3879317
2023-11-20,2348.550049,2358.399902,2336.399902,2349.350098,2349.350098,2245093
2023-11-21,2366.000000,2388.000000,2360.199951,2378.899902,2378.899902,4107225
2023-11-22,2375.000000,2394.449951,2372.199951,2388.199951,2388.199951,4267407
2023-11-23,2388.199951,2400.000000,2388.199951,2395.500000,2395.500000,4265771
2023-11-24,2391.600098,2402.600098,2391.050049,2393.899902,2393.899902,3374743
2023-11-28,2393.899902,2399.699951,2375.250000,2394.399902,2394.399902,6896087
2023-11-29,2408.000000,2411.949951,2398.050049,2400.699951,2400.699951,6265653
2023-11-30,2394.699951,2400.699951,2369.899902,2377.449951,2377.449951,14219992
2023-12-01,2378.000000,2396.399902,2377.600098,2394.300049,2394.300049,7171421
2023-12-04,2450.000000,2450.000000,2398.600098,2420.199951,2420.199951,7795495
2023-12-05,2439.000000,2440.850098,2421.649902,2437.750000,2437.750000,6346812
2023-12-06,2447.100098,2472.949951,2435.000000,2461.100098,2461.100098,8211221
2023-12-07,2460.000000,2460.949951,2442.000000,2457.050049,2457.050049,4071048
2023-12-08,2463.850098,2476.699951,2445.000000,2455.750000,2455.750000,5102447
2023-12-11,2456.000000,2467.600098,2452.399902,2459.350098,2459.350098,3533069
2023-12-12,2460.000000,2464.949951,2420.149902,2424.050049,2424.050049,4598562
2023-12-13,2422.000000,2438.350098,2406.300049,2433.949951,2433.949951,5015591
2023-12-14,2454.000000,2474.949951,2442.649902,2464.149902,2464.149902,8486177
2023-12-15,2478.000000,2500.000000,2470.050049,2495.600098,2495.600098,7966076
2023-12-18,2495.600098,2534.899902,2490.949951,2521.000000,2521.000000,7082594
2023-12-19,2555.000000,2573.899902,2525.199951,2558.100098,2558.100098,8410302
2023-12-20,2571.050049,2598.850098,2520.000000,2527.149902,2527.149902,8868361
2023-12-21,2527.000000,2573.500000,2518.250000,2562.550049,2562.550049,6882727
2023-12-22,2559.600098,2580.899902,2547.649902,2565.050049,2565.050049,8270892
2023-12-26,2568.000000,2591.949951,2562.699951,2578.050049,2578.050049,3732832
2023-12-27,2582.000000,2599.899902,2573.100098,2586.850098,2586.850098,4602078
2023-12-28,2589.800049,2612.000000,2586.850098,2605.550049,2605.550049,6151318
2023-12-29,2611.100098,2614.000000,2579.300049,2584.949951,2584.949951,5432292
2024-01-01,2580.550049,2606.850098,2573.149902,2590.250000,2590.250000,2015270
2024-01-02,2585.000000,2615.000000,2573.000000,2611.699951,2611.699951,3724400
2024-01-03,2610.000000,2634.000000,2577.199951,2583.300049,2583.300049,4518768
2024-01-04,2588.000000,2609.850098,2579.100098,2596.649902,2596.649902,4806389
2024-01-05,2602.899902,2619.850098,2598.000000,2607.699951,2607.699951,4043203
2024-01-08,2610.000000,2631.949951,2568.949951,2587.350098,2587.350098,3867326
2024-01-09,2600.000000,2606.800049,2577.199951,2580.500000,2580.500000,2701537
2024-01-10,2577.000000,2659.000000,2575.050049,2650.100098,2650.100098,5551370
2024-01-11,2659.000000,2725.000000,2657.000000,2719.800049,2719.800049,11862926
2024-01-12,2719.800049,2746.649902,2691.500000,2741.449951,2741.449951,7506082
2024-01-15,2750.000000,2792.899902,2732.000000,2788.250000,2788.250000,4305297
2024-01-16,2779.949951,2792.600098,2741.000000,2749.250000,2749.250000,4534512
2024-01-17,2719.000000,2772.550049,2710.050049,2723.149902,2723.149902,6098691
2024-01-18,2702.800049,2742.000000,2702.500000,2735.899902,2735.899902,5139719
2024-01-19,2752.000000,2752.000000,2718.000000,2734.899902,2734.899902,5211352
2024-01-23,2743.500000,2743.500000,2645.100098,2657.149902,2657.149902,10027710
2024-01-24,2670.449951,2699.000000,2647.850098,2687.750000,2687.750000,10959564
2024-01-25,2685.899902,2728.300049,2670.399902,2706.149902,2706.149902,5904436
2024-01-29,2729.000000,2905.000000,2720.350098,2896.100098,2896.100098,11946719
2024-01-30,2919.899902,2919.949951,2808.850098,2815.250000,2815.250000,7046989
2024-01-31,2808.000000,2868.500000,2805.000000,2853.250000,2853.250000,7565113
2024-02-01,2870.000000,2886.699951,2836.100098,2853.300049,2853.300049,6674681
2024-02-02,2866.350098,2949.800049,2866.350098,2915.399902,2915.399902,9826294
2024-02-05,2921.500000,2941.000000,2863.050049,2878.050049,2878.050049,4407216
2024-02-06,2883.699951,2883.699951,2839.649902,2855.600098,2855.600098,4523992
2024-02-07,2871.850098,2899.000000,2858.500000,2884.300049,2884.300049,4648284
2024-02-08,2900.000000,2918.949951,2855.050049,2900.250000,2900.250000,7347317
2024-02-09,2908.000000,2943.949951,2901.899902,2921.500000,2921.500000,6278399
2024-02-12,2921.500000,2922.000000,2884.699951,2904.699951,2904.699951,3337215
2024-02-13,2911.000000,2958.000000,2908.000000,2930.199951,2930.199951,3857797
2024-02-14,2915.000000,2967.300049,2915.000000,2962.750000,2962.750000,3558944
2024-02-15,2966.699951,2969.449951,2933.050049,2941.199951,2941.199951,5003391
2024-02-16,2952.949951,2954.000000,2917.100098,2921.149902,2921.149902,4883749
2024-02-19,2924.100098,2959.000000,2907.050049,2948.000000,2948.000000,3364914
2024-02-20,2950.050049,2951.000000,2923.600098,2942.050049,2942.050049,3558748
2024-02-21,2948.000000,2977.050049,2915.100098,2935.399902,2935.399902,6360146
2024-02-22,2936.300049,2969.899902,2916.000000,2963.500000,2963.500000,9246864
2024-02-23,2979.000000,2995.100098,2966.699951,2987.250000,2987.250000,7219292
2024-02-26,2987.100098,2989.050049,2965.000000,2974.649902,2974.649902,3756553
2024-02-27,2966.050049,2999.899902,2956.100098,2971.300049,2971.300049,5413022
2024-02-28,2966.000000,2982.550049,2900.350098,2911.250000,2911.250000,4323975
